Result,Description,Lat,Lng,Image,Detail
子ども未来センターの開設に尽力,初当選以来、市役所跡地の利用問題を徹底して議会で取り上げ、「南口の活性化の核となる集客施設を」と訴えてきました。,35.6941761,139.4196733,p1,http://mf2933.sakura.ne.jp/resume.html
JR東地下道沿道 放置自転車の撤去を実施,JR東地下道沿道の放置自転車の撤去を実施しました。,35.697532,139.417088,no-image,
錦第二公演(オニ公園)２基の街灯と防犯カメラを設置,昨年起きた傷害事件を契機に市と協議を行ない、オニの周辺を明るくするよう要望し、この度街灯２基の設置が完了しました。,35.697870,139.419654,p36,http://mf2933.sakura.ne.jp/resume.html
荒井内科横交差点にカーブミラーを増設,付近の店舗の方から、踏切が近くにあり交通量も多く、衝突の危険性が高いとの指摘がありました。カーブミラーを増設し視界を広げました。,35.696925,139.421703,p3,http://mf2933.sakura.ne.jp/resume.html
グランパークマンション東側に街灯設置,付近の通行人の方から暗いという要望がありました。,35.696450,139.421339,p4,http://mf2933.sakura.ne.jp/resume.html
錦中央通り・やすらぎ通り交差点の道路補修,沿道の住民の方から、歩道の老朽化により､振動がするとの相談がありましたが、道路補修により解消しました。,35.695809,139.417289,p5,http://mf2933.sakura.ne.jp/resume.html
錦町１丁目一方通行路にカーブミラー設置,地元自治会の見通しの悪いＴ字路にカーブミラーが設置されました。,35.695827,139.419853,p6,http://mf2933.sakura.ne.jp/resume.html
アミューたちかわ西側通学路に２基の街灯を設置,毎朝三小に通う子どもたちの為に旗振りをされている自治会の役員さんから夜になるととても暗いので街灯が欲しいとの要望がありました。,35.694315,139.420099,p7,http://mf2933.sakura.ne.jp/resume.html
錦町２丁目の道路の陥没を補修,錦町２丁目３番地の道路の陥没を補修しました。これまで陥没のため雨の日に水が溜まり歩行が困難というご近所からの相談がありました。,35.694794,139.417525,p8,http://mf2933.sakura.ne.jp/resume.html
錦中央通りの歩道に車乗り上げ防止のためのポールを設置,商店街の店舗の方から、車が歩道を店の前まで乗り上げてきて大変危険との不安の声がありました。,35.696010,139.416060,p9,http://mf2933.sakura.ne.jp/resume.html
錦学習館の舞台緞帳を新調,市民連の方々をはじめ、文化協会の方々から、緞帳が古く、痛みが激しい為取り替えて欲しいという切実なるご要望がありました。,35.691280,139.416129,p10,http://mf2933.sakura.ne.jp/resume.html
立川三小スクールゾーンを設置,立川三小南側市道にスクールゾーンを開設しました。,35.691727,139.419960,p11,http://mf2933.sakura.ne.jp/resume.html
錦町４丁目くるりんバス停前道路補修,錦町４丁目くるりんバス停前の道路補修を行ないました。,35.691287,139.422878,p12,http://mf2933.sakura.ne.jp/resume.html
錦第三公園トイレに照明を設置,錦第三公園のトイレには以前から照明がついておらず、盆踊り等での夜の行事で子どもがトイレに行けないという問題がありました。,35.691967,139.418737,p13,http://mf2933.sakura.ne.jp/resume.html
東京都職業訓練校跡地の仮設塀を透明なパネルに変更,付近の住民の方から交差点の死角が生まれ大変に危険との指摘がありました。透明なパネルに変更することで安全を確保しました。,35.688976,139.420845,p14,http://mf2933.sakura.ne.jp/resume.html
錦六公園に新しいフェンスを設置,錦六公園の金網柵の交換工事が実現しました。町会の方から柵が破れており、子どもが出入りして危険との声を聞いておりました。,35.689388,139.417530,p15,http://mf2933.sakura.ne.jp/resume.html
奥多摩バイパスの道路補修,沿道の住民の方から、車の通過時に大きな振動がするとの苦情がありました。管轄の東京都と掛け合い補修を行いました。,35.687227,139.412804,p16,http://mf2933.sakura.ne.jp/resume.html
羽衣第一アパート２号棟にエレベータを設置,都議会公明党に働きかけ、都庁で要望書を直接手渡し、実現を求めました。この度工事が完成し、４月から稼働を始めました。,35.697308,139.422776,p17,http://mf2933.sakura.ne.jp/resume.html
羽衣第二アパート横Ｔ字路に左右両面のカーブミラー設置,カーブミラーがよく見えず、車とバイクの衝突事故が後を絶ちませんでした。左右両面のカーブミラーが設置され、視界が広がりました。,35.698049,139.423576,p18,http://mf2933.sakura.ne.jp/resume.html
